"part_id","display_name_ko","category","assembly_form","mobility_surface","anchor_mode","confidence","review_result","notes"
"nova_fire_arm10_broz","블레이즈","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm17_prrs","프롤릭스","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm18_knst","캐니스터","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm19_roz","레이저","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm20_rkto","로켓티어","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm31_skokr","스카이킬러","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm35_ons","오닉스","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm37_sts","스틱스","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm41_onoo","아누아이","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm8_do","듀얼건","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_g_arm56_prrs","프롤릭스G","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_n_arm62_knst","캐니스터N","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_n_arm63_krst","클러스터N","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_n_arm67_sts","스틱스N","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_n_arm68_roz","레이저N","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_s_arm53_ons","오닉스S","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_s_arm54_onoo","아누아이S","Firepower","Shoulder","","ShoulderPair","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm1_sz","시즈","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm11_poms","파워맥스","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm12_onms","에너맥스","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm13_prs","팔랑스","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm21_nmsz","네메시즈","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
