"slot","priority","category","source_relative_path","model_path","vertices","triangles","texture_output","rationale","status"
"frame_body","1","UnitParts/Bodies","datan\common\body23_ms.gx","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body23_ms_08bb8d65.obj","311","286","","Balanced torso silhouette, high enough detail for first Garage preview.","shortlisted"
"frame_body","2","UnitParts/Bodies","datan\common\body25_bosro.gx","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body25_bosro_0459d605.obj","328","282","","Broad body candidate for checking camera framing and center mass.","shortlisted"
"frame_body","3","UnitParts/Bodies","datan\common\body37_ktn.gx","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body37_ktn_c91a1edb.obj","349","278","","Angular body candidate with readable top shape.","shortlisted"
"frame_body","4","UnitParts/Bodies","datan\common\body11_kn.gx","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body11_kn_c249f9d6.obj","284","200","","Medium-detail fallback body below the first-pass triangle cap.","shortlisted"
"frame_body","5","UnitParts/Bases","datan\common\B0002.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bases/datan_common_B0002_951dd839.obj","140","156","datan_common_B0002_951dd839.TGA","Base-shaped silhouette for comparing body versus platform framing.","shortlisted"
"firepower","1","UnitParts/ArmWeapons","datan\common\arm43_przso.gx","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm43_przso_8b357f45.obj","296","256","","Strong top-mounted weapon profile within the first-pass triangle cap.","shortlisted"
"firepower","2","UnitParts/ArmWeapons","datan\common\arm20_rkto.gx","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm20_rkto_aae07f0f.obj","196","226","","Launcher-like profile for firepower readability.","shortlisted"
"firepower","3","UnitParts/ArmWeapons","datan\common\arm6_msg.gx","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm6_msg_42fcf388.obj","228","219","","Compact weapon candidate for dense Garage card framing.","shortlisted"
"firepower","4","UnitParts/ArmWeapons","datan\common\arm31_skokr.gx","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm31_skokr_34910848.obj","180","190","","Medium-detail alternative for slot-to-slot contrast.","shortlisted"
"firepower","5","Effects/Projectiles","datan\common\0913missile.GX","Assets/Art/Nova1492/GXConverted/Models/Effects/Projectiles/datan_common_0913missile_311fffe0.obj","48","32","","Projectile candidate for thumbnail or muzzle detail comparison.","shortlisted"
"mobility","1","UnitParts/Legs","datan\common\legs24_sts.gx","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs24_sts_3e631676.obj","367","313","","Readable lower-body silhouette, useful for first assembled unit preview.","shortlisted"
"mobility","2","UnitParts/Legs","datan\common\legs20_spod.gx","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs20_spod_160594f4.obj","294","287","","Spider/stance-like profile for mobility contrast.","shortlisted"
"mobility","3","UnitParts/Legs","datan\common\legs7_hb.gx","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs7_hb_31b3460a.obj","263","293","","Heavier lower-body option below the first-pass triangle cap.","shortlisted"
"mobility","4","UnitParts/Legs","datan\common\legs13_krz.gx","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs13_krz_e135c433.obj","238","286","","Alternate leg profile with comparable budget to the top candidates.","shortlisted"
"mobility","5","UnitParts/Legs","datan\common\legs25_kd.gx","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs25_kd_803953d7.obj","236","179","","Lower-detail fallback candidate for mobile preview safety.","shortlisted"
"ambient_prop","1","Environment/Props","datan\common\tube.GX","Assets/Art/Nova1492/GXConverted/Models/Environment/Props/datan_common_tube_bd26a2bc.obj","72","117","datan_common_tube_bd26a2bc.TGA","Simple mechanical prop candidate for a workshop background accent.","shortlisted"
"ambient_prop","2","Environment/Props","datan\common\parasol.GX","Assets/Art/Nova1492/GXConverted/Models/Environment/Props/datan_common_parasol_4090b939.obj","109","112","datan_common_parasol_4090b939.TGA","Distinct prop silhouette for quick scale and material sanity checks.","shortlisted"
"ambient_prop","3","Environment/Props","datan\common\tree01.gx","Assets/Art/Nova1492/GXConverted/Models/Environment/Props/datan_common_tree01_38e5a513.obj","59","51","","Low-poly environmental prop for non-Garage decorative comparison.","shortlisted"
"ambient_prop","4","Environment/Props","datan\common\soccer.gx","Assets/Art/Nova1492/GXConverted/Models/Environment/Props/datan_common_soccer_5a963f8c.obj","95","85","datan_common_soccer_5a963f8c.TGA","Small object candidate that should not dominate Lobby UI hierarchy.","shortlisted"
"ambient_prop","5","Environment/Props","datan\common\dol05.GX","Assets/Art/Nova1492/GXConverted/Models/Environment/Props/datan_common_dol05_aef84e71.obj","145","49","","Compact prop fallback for background-placement tests.","shortlisted"
